id,date,amount,label,category,source,status,comment,sharing_mode,account_id,period_id,created_at,updated_at
84,2026-09-12,59.00,Marché,quotepart,telegram,draft,,,2,,2026-09-15T14:53:46.643866,2026-09-15T18:08:20.842061
85,2026-09-06,30.00,Leroy,brico,telegram,draft,,,1,,2026-09-15T14:53:46.671418,2026-09-15T14:53:46.671424
86,2026-09-05,54.00,bricolage,brico,telegram,draft,,,1,,2026-09-15T14:53:46.699167,2026-09-15T14:53:46.699170
87,2026-09-02,50.00,marches,quotepart,telegram,draft,,,1,,2026-09-15T14:53:46.704498,2026-09-15T18:08:20.842061
88,2026-09-02,110.00,Marché,quotepart,telegram,draft,,,2,,2026-09-15T14:53:46.713169,2026-09-15T18:08:20.842061
89,2026-08-29,67.00,Marché,quotepart,telegram,draft,,,2,,2026-09-15T14:53:46.724192,2026-09-15T18:08:20.842061
90,2026-08-28,118.00,Leclerc,quotepart,telegram,draft,,,2,,2026-09-15T14:53:46.730066,2026-09-15T18:08:20.842061
91,2026-08-26,27.63,salaire Carole août,quotepart,telegram,draft,,,2,,2026-09-15T14:53:46.734144,2026-09-15T18:08:20.842061
92,2026-08-22,9.00,Marché,quotepart,telegram,draft,,,2,,2026-09-15T14:53:46.742585,2026-09-15T18:08:20.842061
93,2026-08-22,128.00,Marché,quotepart,telegram,draft,,,2,,2026-09-15T14:53:46.749943,2026-09-15T18:08:20.842061
94,2026-08-21,146.00,farine,quotepart,telegram,draft,,,2,,2026-09-15T14:53:46.757756,2026-09-15T14:53:46.757759
95,2026-08-20,103.00,Sunday vitamines,quotepart,telegram,draft,,,2,,2026-09-15T14:53:46.761759,2026-09-15T18:08:20.842061
96,2026-08-20,184.00,Kerbio,quotepart,telegram,draft,,,2,,2026-09-15T14:53:46.765714,2026-09-15T14:53:46.765723
97,2026-08-18,56.00,Marché,quotepart,telegram,draft,,,2,,2026-09-15T14:53:46.779066,2026-09-15T18:08:20.842061
98,2026-08-12,80.00,Casto Wedi,brico,telegram,draft,,,2,,2026-09-15T14:53:46.791443,2026-09-15T18:08:20.842061
99,2026-08-12,86.24,paiement en ligne casto,brico,telegram,draft,,,1,,2026-09-15T14:53:46.801358,2026-09-15T18:08:20.842061
100,2026-08-08,84.00,Marché,quotepart,telegram,draft,,,2,,2026-09-15T14:53:46.814597,2026-09-15T18:08:20.842061
101,2026-08-05,25.00,Marché,quotepart,telegram,draft,,,2,,2026-09-15T14:53:46.825235,2026-09-15T18:08:20.842061
102,2026-08-01,22.00,Marché,quotepart,telegram,draft,,,2,,2026-09-15T14:53:46.843414,2026-09-15T18:08:20.842061
103,2026-08-01,14.00,Fromage,quotepart,telegram,draft,,,1,,2026-09-15T14:53:46.855034,2026-09-15T18:12:04.522157
106,2026-05-15,47.50,Carrefour,50/50,telegram,draft,,quotepart,1,,2026-05-24T11:38:07.968935,2026-07-11T14:14:52.649716
107,2026-05-20,63.20,Leclerc,50/50,telegram,draft,,quotepart,2,,2026-05-24T11:38:08.041707,2026-07-11T14:14:52.649718
108,2026-01-30,418.05,CB La Fourche Rue Des Fre,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782678,2026-05-25T12:48:49.292574
109,2026-04-02,348.94,CB La Fourche Seine Et Marn,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782684,2026-05-25T12:48:49.292581
110,2026-02-28,320.22,CB La Fourche Rue Des Fre,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782686,2026-05-25T12:48:49.292582
111,2026-04-07,297.86,CB Sp Weightworld F Clonmel,quotepart,csv_import,draft,Fortuneo: Loisirs & Sorties / Loisirs & Sorties - Autres,,5,,2026-05-24T12:19:29.782687,2026-05-25T12:48:49.292583
112,2026-05-04,294.05,CB Kerbio Brest,quotepart,csv_import,draft,Fortuneo: Alimentation & Restau. / Supermarché / Epicerie,,5,,2026-05-24T12:19:29.782688,2026-05-25T12:48:49.292583
113,2026-04-07,245.00,Vir Inst Agneau,quotepart,csv_import,draft,"Fortuneo: Retraits, Chq. et Vir. / Virements",,5,,2026-05-24T12:19:29.782690,2026-05-25T12:48:49.292584
